2025-06-13 20:54:45,087 - Custom dataset creation started
2025-06-13 20:55:30,016 - Initializing DataLoader
2025-06-13 20:55:56,060 - Initializing PoseNet model
2025-06-13 20:55:58,074 - Training started on device: cuda
Epoch 1, Batch 50: Loss 2.1402
Epoch 1, Batch 100: Loss 0.0225
Epoch 1, Batch 150: Loss 0.0114
Epoch 1, Batch 200: Loss 0.0071
Epoch 1, Batch 250: Loss 0.0053
Epoch 1, Batch 300: Loss 0.0047
Epoch 1, Batch 350: Loss 0.0048
Epoch 1, Batch 400: Loss 0.0045
Epoch 1, Batch 450: Loss 0.0038
Epoch 1, Batch 500: Loss 0.0036
Epoch 1, Batch 550: Loss 0.0034
Epoch 1, Batch 600: Loss 0.0032
Epoch 1, Batch 650: Loss 0.0036
Epoch 1, Batch 700: Loss 0.0034
Epoch 1, Batch 750: Loss 0.0032
Epoch 1, Batch 800: Loss 0.0032
Epoch 1, Batch 850: Loss 0.0030
Epoch 1, Batch 900: Loss 0.0031
Epoch 1, Batch 950: Loss 0.0030
Epoch 1, Batch 1000: Loss 0.0030
Epoch 1, Batch 1050: Loss 0.0032
Epoch 1, Batch 1100: Loss 0.0032
Epoch 1, Batch 1150: Loss 0.0029
Epoch 1, Batch 1200: Loss 0.0029
Epoch 1, Batch 1250: Loss 0.0027
Epoch 1, Batch 1300: Loss 0.0028
Epoch 1, Batch 1350: Loss 0.0028
Epoch 1, Batch 1400: Loss 0.0027
Epoch 1, Batch 1450: Loss 0.0027
Epoch 1, Batch 1500: Loss 0.0027
Epoch 1, Batch 1550: Loss 0.0027
Epoch 1, Batch 1600: Loss 0.0029
Epoch 1, Batch 1650: Loss 0.0027
Epoch 1, Batch 1700: Loss 0.0027
Epoch 1, Batch 1750: Loss 0.0027
Epoch 1, Batch 1800: Loss 0.0027
Epoch 1, Batch 1850: Loss 0.0027
Epoch 1, Batch 1900: Loss 0.0026
Epoch 1, Batch 1950: Loss 0.0027
Epoch 1, Batch 2000: Loss 0.0026
Model saved: model_epoch_1.pth
Epoch 1 completed
Epoch 2, Batch 50: Loss 0.0026
Epoch 2, Batch 100: Loss 0.0028
Epoch 2, Batch 150: Loss 0.0027
Epoch 2, Batch 200: Loss 0.0026
Epoch 2, Batch 250: Loss 0.0026
Epoch 2, Batch 300: Loss 0.0027
Epoch 2, Batch 350: Loss 0.0026
Epoch 2, Batch 400: Loss 0.0027
Epoch 2, Batch 450: Loss 0.0026
Epoch 2, Batch 500: Loss 0.0027
Epoch 2, Batch 550: Loss 0.0028
Epoch 2, Batch 600: Loss 0.0029
Epoch 2, Batch 650: Loss 0.0027
Epoch 2, Batch 700: Loss 0.0028
Epoch 2, Batch 750: Loss 0.0027
Epoch 2, Batch 800: Loss 0.0027
Epoch 2, Batch 850: Loss 0.0027
Epoch 2, Batch 900: Loss 0.0026
Epoch 2, Batch 950: Loss 0.0027
Epoch 2, Batch 1000: Loss 0.0026
Epoch 2, Batch 1050: Loss 0.0026
Epoch 2, Batch 1100: Loss 0.0026
Epoch 2, Batch 1150: Loss 0.0026
Epoch 2, Batch 1200: Loss 0.0027
Epoch 2, Batch 1250: Loss 0.0026
Epoch 2, Batch 1300: Loss 0.0026
Epoch 2, Batch 1350: Loss 0.0026
Epoch 2, Batch 1400: Loss 0.0031
Epoch 2, Batch 1450: Loss 0.0028
Epoch 2, Batch 1500: Loss 0.0028
Epoch 2, Batch 1550: Loss 0.0028
Epoch 2, Batch 1600: Loss 0.0028
Epoch 2, Batch 1650: Loss 0.0027
Epoch 2, Batch 1700: Loss 0.0028
Epoch 2, Batch 1750: Loss 0.0030
Epoch 2, Batch 1800: Loss 0.0029
Epoch 2, Batch 1850: Loss 0.0028
Epoch 2, Batch 1900: Loss 0.0029
Epoch 2, Batch 1950: Loss 0.0030
Epoch 2, Batch 2000: Loss 0.0029
Model saved: model_epoch_2.pth
Epoch 2 completed
Epoch 3, Batch 50: Loss 0.0031
Epoch 3, Batch 100: Loss 0.0031
Epoch 3, Batch 150: Loss 0.0029
Epoch 3, Batch 200: Loss 0.0034
Epoch 3, Batch 250: Loss 0.0030
Epoch 3, Batch 300: Loss 0.0031
